GUID,PlayerName,Exp,KDR,PLAYER_KILL,Zombies_Killed,ZMB_KILL,ZMB_MIL_KILL,SUCIDE_DEATH,Total_Deaths,PLAYER_DEATH,TBD_DEATH,CARCRASH_DEATH,ZMB_DEATH,UNKNOWN_DEATH,UNKNOWN_BLEEDDEATH,CUTS,BLEED_OUT,Accuracy,SHOTS_FIRED,SHOTS_HIT,DOOR_LOCKED,Total_Animals_Hunted,ANIMAL_KILL_HEN,ANIMAL_KILL_GOAT,ANIMAL_KILL_PIG,ANIMAL_KILL_COW,ANIMAL_KILL_DEER,ANIMAL_KILL_BEAR,ANIMAL_KILL_WOLF,BODIES_BURIED,BANDAGE_SELF,BANDAGE_TARGET,CPR_TARGET,SALINE_SELF,SALINE_TARGET,BLOOD_SELF,BLOOD_SELF,TREES_CUT,HARVESTED_WEED,HARVESTED_KUSH,HARVESTED_BLUEWEED,HARVESTED_COCA,HARVESTED_PUMKIN,HARVESTED_PEPPER,HARVESTED_ZUCCHINI,HARVESTED_TOMATO,HARVESTED_TABACCO,CLEAN_WEAPON,Total_Built,BUILT_FENCE,BUILT_WATCHTOWER,BUILT_BBPTIER1,BUILT_BBPTIER2,BUILT_BBPTIER3,RAID_FENCE,RAID_WATCHTOWER,HACK_TENT,HACK_FENCE,HACK_BBPTIER1,HACK_BBPTIER2,HACK_BBPTIER3,HEADSHOT,EVENT_KINGOFTHEHILL,LongestSurvivedTime,DistanceTraveledHistorical,SurvivedTimeHistorical,LongestShot,LongestKill
AfTFuVeaadeDSXmTJXDIx_UWJl069X8Wcj4Cqmy9ymY=,IronWingz,43,0,0,18,12,6,0,1,1,0,0,0,0,0,5,0,1,2,2,0,4,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7854.355957,13432.76758,7854.355957,10.16309547,10.16309547
4boKs_N2ChTmm6eZyx9ScgDvKq9dCLCP6b1AgJfn1wU=,vincegordo1234,268,0,1,22,17,5,1,1,0,0,0,1,0,0,9,0,0.967741935,31,30,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2438.712402,4084.084717,2681.880371,0.536921978,0.536921978
FqVnhrURldfZtufNVpNgvB7FXEVh_tCaFFcKpqCnLkc=,Slenify,50,0,0,48,35,13,3,2,2,0,0,0,0,0,5,0,0.96,25,24,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10639.94922,32415.42383,16526.65625,713.1829224,713.1829224
hHyJSD5mcSCyotSklNg1IWOd47WzN061d1OLecRGiFQ=,Survivor (4),191,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0.947368421,38,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5625.86084,0,0,0,0
AMmq0zMS0Q3FcG9prrlRGqm2D73zr8V-M8xPCHGKogs=,Rick Rollins,75,0,0,12,12,0,4,1,1,0,0,0,0,0,6,0,0.9375,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2668.401367,2441.17334,924.6113281,1.527074099,1.527074099
rnbdueD5OizxCkRJmyZ7e626ZWmQwwhyS19UqQMxCzQ=,[BK] Leirbag,575,1,1,2,0,2,5,1,1,0,0,0,0,0,10,0,0.933333333,15,14,3,7,0,1,0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,11125.43262,8981.56543,4023.331299,21.78401947,21.78401947
qf4WXimHZQlyaIZ0Bd3U4PGhBwTzT7zWhXqMa-tzsNk=,Survivor (4),275,0.5,1,7,0,7,1,2,2,0,0,0,0,0,14,0,0.928571429,14,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1284.560547,6006.77832,2445.224854,470.8394165,470.8394165
69tYAqfRG9VLvOfPRXI1NOPbMQVOoYFPszPnYo2xabo=,Thomas,42,0,0,5,1,4,0,0,0,0,0,0,0,0,3,0,0.928571429,14,13,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4036.147949,0,0,15.41792488,0
WDx9ULZGP1X-ZXC14EPl7N1j0iRL_HzWa5nweBYcUsc=,Boof,304,1,2,0,0,0,1,2,2,0,0,0,0,0,4,0,0.923076923,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1749.571045,4187.29248,2573.958984,6.86361742,6.86361742
5fVByh2-D5I-go-4xyn4Ce0lWS0pci7ODrBgh_IBiBg=,Abdula Cisaille,292,0.75,3,3,0,3,0,4,4,0,0,0,0,0,5,0,0.923076923,13,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2833.840088,9196.867188,6841.640137,70.82632446,70.82632446
apotOS90vNioNCLOgvs5a0D4g9MVYUkKlW0VlNSAsLs=,Han,36,0.5,1,35,35,0,2,2,2,0,0,0,0,0,3,0,0.92,50,46,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6392.174316,23368.43359,16130.60547,85.34061432,85.34061432
OmcHc15dCTFABWBGLT88oV38aB5IhcCttYFuuT78d-U=,Jail,839,0.909090909,10,30,9,21,15,11,11,0,0,0,0,0,51,0,0.916666667,36,33,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,12,12,0,0,0,0,0,0,0,0,0,0,0,1,0,9207.46875,70899.30469,35565.75391,111.6691818,71.35970306
3OZuOm2NTp-FFi6dJ9N66pWbu40zmqCQ0sGtozob42k=,Friendly,55,0,0,8,5,3,3,0,0,0,0,0,0,0,0,0,0.916666667,12,11,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4938.190918,483.3420715,226.4619141,0,0
uLooUe1fZ115dR52TM-8lb2mLqlUfRJv8xgBBZlDeuk=,Hooli,322,2,2,5,0,5,0,1,1,0,0,0,0,0,3,0,0.909090909,11,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4165.257813,6975.12207,4165.257813,46.5657196,46.5657196
