DistanceTraveled,DistanceTraveledHistorical,Exp,GUID,LongestKill,LongestShot,LongestSurvivedTime,PlayerName,UNKNOWN_TYPE,KDR,PLAYER_KILL,FRIENDLY_KILL,AI_KILL,Zombies_Killed,ZMB_KILL,ZMB_MIL_KILL,SUCIDE_DEATH,PLAYER_DEATH,FRIENDLY_DEATH,Total_Deaths,AI_DEATH,TBD_DEATH,CARCRASH_DEATH,HELICRASH_DEATH,ZMB_DEATH,UNKNOWN_DEATH,UNKNOWN_BLEEDDEATH,CUTS,BLEED_OUT,Accuracy,SHOTS_FIRED,SHOTS_HIT,DOOR_LOCKED,ANIMAL_KILL_HEN,ANIMAL_KILL_GOAT,ANIMAL_KILL_PIG,ANIMAL_KILL_COW,ANIMAL_KILL_DEER,ANIMAL_KILL_BEAR,ANIMAL_KILL_WOLF,BODIES_BURIED,BANDAGE_SELF,BANDAGE_TARGET,MEDICATE_SELF,MEDICATE_TARGET,CPR_TARGET,SALINE_SELF,SALINE_TARGET,BLOOD_SELF,BLOOD_SELF,TREES_CUT,HARVESTED_CANNABIS,HARVESTED_WEED,HARVESTED_KUSH,HARVESTED_BLUEWEED,HARVESTED_COCA,HARVESTED_PUMKIN,HARVESTED_PEPPER,HARVESTED_ZUCCHINI,HARVESTED_TOMATO,HARVESTED_PATATO,HARVESTED_TABACCO,REPAIRED_CLOTHES,CLEAN_WEAPON,BUILT_FENCE,BUILT_WATCHTOWER,BUILT_BBPTIER1,"BUILT_BBPTIER2""""",BUILT_BBPTIER3,RAID_FENCE,RAID_WATCHTOWER,RAID_BBPTIER1,RAID_BBPTIER2,RAID_BBPTIER3,HACK_TENT,HACK_FENCE,HACK_BBPTIER1,HACK_BBPTIER2,HACK_BBPTIER3,HEADSHOT,EVENT_KINGOFTHEHILL,EVENT_BOUNTYHUNTER,EVENT_BOUNTYTARGET,EVENT_AIRDROP,SurvivedTime,SurvivedTimeHistorical
26290.08594,1289472.75,48590,ORTDyIJS-ONTOekg6fv_lV2OHlSUniUrWUqg0I1wOfI=,777.9277954,777.9277954,41030.83594,jason,14,1.736363636,191,0,0,681,22,659,217,110,0,112,0,0,0,0,2,0,0,352,0,0.042330575,14623,619,3,0,0,0,0,0,0,2,0,199,20,0,0,0,1,1,0,0,106,0,51,34,18,225,0,0,0,0,0,2,0,37,0,0,128,16,5,0,0,0,0,0,4,0,0,0,0,36,21,0,0,0,21489.75,981979.6875
14724.8916,1521541.625,48232,xetHM06rVTPCdzwfk7EUC6ShhJrhzUmQSaFYhfQ02ns=,890.7923584,892.2603149,66082.36719,[LF]Blind,9,3.113636364,137,0,0,597,301,296,200,44,0,44,0,0,0,0,0,0,0,98,0,0.036863793,8979,331,8,0,0,0,0,0,0,11,0,47,6,0,0,0,1,0,0,0,28,0,29,17,0,27,0,0,1,3,0,9,0,11,0,0,12,2,0,0,0,0,0,0,0,0,0,7,1,43,13,0,0,0,4332.79541,644586.9375
16324.21289,671223.3125,48103,DHOuaWE9X3GIieBFeADwNCpKwGqR0ILGW0j3NZS1n1Q=,619.906189,619.906189,55234.41406,[AD] Shuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu,0,4.431818182,195,0,0,516,187,329,331,44,0,44,0,0,0,0,0,0,0,115,0,0.013528551,17075,231,0,4,0,0,3,2,0,13,0,35,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,0,0,6585.088867,293779.125
0,2355956,46633,KqjLMuEBmJXvEtkDPCwo3iG-ERPNsU12RSPQtlqNCA0=,644.2953491,644.2953491,123714.1875,VgTa,0,1.598290598,187,0,0,756,199,557,190,117,0,120,0,0,0,0,3,0,0,351,0,0.041223404,13536,558,12,1,1,0,0,1,0,28,0,118,7,0,0,1,0,1,0,0,377,0,0,9,9,43,0,0,0,0,0,0,0,36,0,0,172,54,0,0,0,0,0,0,0,0,0,0,0,39,18,0,0,0,0,1127743.875
0,716333.125,46373,jt495EXMbhgllOdelE-yXzSIaRVgu5l-WOS-7iDsHVQ=,814.1690674,814.1690674,33466.59375,(LBDC) ElChoni,9,1.887755102,185,0,0,382,53,329,106,98,0,99,0,0,0,0,1,0,0,266,0,0.067303214,8588,578,15,0,0,0,0,1,0,6,0,90,9,0,0,0,0,0,0,0,523,0,13,19,9,82,0,0,0,0,0,0,0,29,0,0,241,46,0,0,0,0,0,0,0,0,0,0,0,37,5,0,0,0,0,468129.2813
74884.75781,676570.125,46221,C-qlQ3lmClio1-HrW599iAfRH1ZD6UE-xeNn5Pvc1Oo=,595.7373657,611.9610596,36124.30469,yikers,0,6.074074074,164,0,0,407,111,296,289,27,0,27,0,0,0,0,0,0,0,100,0,0.026646928,6755,180,0,0,0,0,8,3,0,0,0,45,8,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,0,0,0,30049.9082,277205.3125
17166.1582,1582855.75,46096,0vs01U7tRKOa3M5QyxNuSRS0h81-Q_dKBcUL1TaNxto=,786.1375732,786.1375732,101743.4922,(COBRA) JBaby,0,3.306451613,205,0,0,842,191,651,691,62,0,63,0,0,0,0,1,0,0,282,0,0.02258409,18730,423,0,3,0,0,11,0,3,5,0,162,20,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6,0,0,0,5318.836914,1028156.188
0,2448519.75,45433,FEmGEHtWKBI7_GR00swL7WUA6wI0Su8ehuTxKsWI6ew=,879.5715332,885.7943115,149740.3281,[AD] Blastoise,1,3.160714286,177,0,0,1036,369,667,600,56,0,59,0,0,3,0,0,0,0,207,0,0.039477218,11171,441,11,3,0,0,0,3,4,8,0,88,14,0,0,0,3,0,0,0,40,0,0,0,0,18,0,0,1,0,0,0,0,11,0,0,73,16,39,1,0,0,0,0,0,0,0,0,0,33,8,0,0,0,0,1173369.625
0,1546273.375,44532,SBkKTu4zIgDioGircfDbw3THXT8DlsCWS9S4g3USZNg=,435.1716309,435.1716309,66830.92188,[JSS] MADCHILLENFOO,0,2.072463768,143,0,0,487,80,407,35,69,0,70,0,0,0,0,1,0,0,236,0,0.044197643,13236,585,1,0,8,1,0,6,0,6,0,108,6,0,0,0,1,0,0,0,399,0,0,0,0,0,0,0,0,0,0,0,0,32,27,0,203,94,0,0,0,0,0,0,0,0,0,0,0,34,7,0,0,0,0,888973.375
2.096059322,763488.6875,42759,_HLpA_6V56OYzd4Rb77T7rBj13UiDR-3i6vQ7Z9x-ic=,689.8341064,749.3756104,45123.96094,slippers,0,6.4,128,0,0,652,266,386,93,20,0,20,0,0,0,0,0,0,0,53,0,0.024685087,9844,243,0,6,0,0,4,0,2,1,0,25,3,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3,0,0,0,110.1450195,293942.625
